ref,wilfordMatch,scriptureMatch
Matt. 10:28, the soul: but rather fear him which is able to destroy both soul and body in hell., the soul: but rather fear him which is able to destroy both soul and body in hell.
Matt. 5:18, one jot or tittle of the Old Book that the sectarian world believe in but will be fulfilled.," one jot or one tittle shall in no wise pass from the law, till all be fulfilled."
3 Ne. 15:6,ll be fulfilled.,ll be fulfilled.
Isa. 54:17,er; and every tongue that shall rise against thee in judgment thou shalt condemn,er; and every tongue that shall rise against thee in judgment thou shalt condemn
Dan. 2:44, the God of heaven shall set up a kingdom which shall never be destroyed," the God of heaven set up a kingdom, which shall never be destroyed"
Rev. 5:10, reign on the earth, reign on the earth
Rev. 20:4, a thousand years., a thousand years.
1 Pet. 3:19,to the spirits in prison,to the spirits in prison
D&C 27:5, the stick of Joseph in the hands of Ephraim, the stick of Ephraim
Matt. 5:18, and earth pass away not one jot or tittle will ever fall unfulfilled.," and earth pass, one jot or one tittle shall in no wise pass from the law, till all be fulfilled."
D&C 1:38,; and though the heavens and ,; and though the heavens and 
D&C 76:28, commanded to write while in the vision, commanded us that we should write the vision
D&C 76:49, the visions of heaven they were commanded to write while in the vision," the vision, for lo, this is the end of the vision"
D&C 76:80, the visions of heaven they were commanded to write while ," the vision which we saw of the terrestrial, that the Lord commanded us to write while "
D&C 76:113, the visions of heaven they were commanded to write while ," the vision which we saw, which we were commanded to write while "
Moses 1:2, he talked with , he talked with 
Matt. 2:13-23,take the young child ,take the young child 
D&C 121:35," upon the things of this world,"," upon the things of this world,"
D&C 27:15,d gird up our loins and put on the whole armor,"d gird up your loins, and take upon you my whole armor"
Jer. 1:5,"hou camest forth out of the womb I sanctified thee, and I ordained thee a prophet unto the nations.","hou camest forth out of the womb I sanctified thee, and I ordained thee a prophet unto the nations."
D&C 71:9, weapon that is raised against , weapon that is formed against 
John 6:68, the words of eternal life, the words of eternal life
1 Cor. 11:23-25, the Lord Jesus , the Lord Jesus 
Gen. 2:7,s the breath of life,s the breath of life
A of F 1:11," God according to the dictates of their own conscience,"," God according to the dictates of our own conscience,"
Eph. 2:20,"postles and Prophets, Christ Jesus being the chief corner stone","postles and prophets, Jesus Christ himself being the chief corner stone"
A of F 1:11, God according to the dictates of their own conscience, God according to the dictates of our own conscience
John 10:16,"hem also I must bring, and they shall hear my voice; and there shall be one fold, and one shepherd.","hem also I must bring, and they shall hear my voice; and there shall be one fold, and one shepherd."
3 Ne. 17:4, tribes of Israel, tribes of Israel
Ezek. 37:15-20,tick of Joseph in the hands of Ephraim,"tick of Joseph, which is in the hand of Ephraim"
Gal. 1:8,"n, preach any other gospel unto you than that which we have preached unto you, let him be accursed.","n, preach any other gospel unto you than that which we have preached unto you, let him be accursed."
Rev. 14:6,"preach unto them that dwell on the earth, and to every nation, and kindred, and tongue, and people,","preach unto them that dwell on the earth, and to every nation, and kindred, and tongue, and people,"
Gal. 1:12, the revelations of Jesus Christ., the revelation of Jesus Christ.
John 3:5, enter into the kingdom of , enter into the kingdom of 
D&C 42:17, of the Father and of the Son., of the Father and of the Son.
Moses 1:24, of the Father and , of the Father and 
1 Cor. 12:25,hat there may be no schism,hat there should be no schism
Eph. 4:11-12,"aints, for the work of the ministry, for the edifying of the body of Christ","aints, for the work of the ministry, for the edifying of the body of Christ"
2 Pet. 1:20, of the scriptures are of no private interpretation, of the scripture is of any private interpretation
Luke 21:24," Jerusalem should be trodden down of the Gentiles, until the times of the Gentiles be fulfilled."," Jerusalem shall be trodden down of the Gentiles, until the times of the Gentiles be fulfilled."
Luke 23:21,"Crucify him, crucify him","Crucify him, crucify him"
Matt. 27:25,"is blood be upon us, and our children.","is blood be on us, and on our children."
Gen. 49:10, until Shiloh come, until Shiloh come
Heb. 4:11, the same example of unbelief., the same example of unbelief.
Matt. 24:37, the days of Noah and Lot so shall it be at the coming of the Son of ," the days of Noe were, so shall also the coming of the Son of "
Matt. 24:30, power and great glory., power and great glory.
D&C 29:11, power and great glory, power and great glory
Isa. 60:2, the earth and gross darkness the people," the earth, and gross darkness the people"
D&C 63:32, Spirit from the nations of the earth, Spirit from the inhabitants of the earth
Gal. 6:7,"hatsoever a man soweth, that shall he also reap.","hatsoever a man soweth, that shall he also reap."
Matt. 7:2,"ith what measure ye mete, it shall be measured to you","ith what measure ye mete, it shall be measured to you"
Isa. 11:9, the earth like the waters ," the earth shall be full of the knowledge of the LORD, as the waters "
Joel 2:10, the sun and the moon will be dark, the sun and the moon shall be dark
Joel 3:15,he sun and the moon will be darkened,he sun and the moon shall be darkened
